"unique_key","complaint_","descriptor","incident_a","street_nam","location","year","nyu_address","distance"
61479673,"Noise - Park","Loud Music/Party","149 EAST   10 STREET","EAST   10 STREET","(40.73037751934809, -73.98821595821975)",2024,"31 3 AVENUE",147.481602558958
61488230,"Noise","Noise: Construction Before/After Hours (NM1)","172 MULBERRY STREET","MULBERRY STREET","(40.72015935133559, -73.99696244889314)",2024,"400 BROOME STREET",226.389521412124
61015944,"Noise","Noise: Construction Before/After Hours (NM1)","200 EAST    5 STREET","EAST    5 STREET","(40.72755889546011, -73.99086107921278)",2024,"25 COOPER SQUARE",33.9677018977164
61170032,"Noise - Residential","Loud Talking","125 EAST   11 STREET","EAST   11 STREET","(40.73178846496097, -73.9896914512527)",2024,"120 EAST 12 STREET",73.484099206464
61171269,"Noise - Residential","Loud Music/Party","120 EAST   10 STREET","EAST   10 STREET","(40.73034457895763, -73.98818349119608)",2024,"31 3 AVENUE",159.810398039164
61171290,"Noise - Residential","Loud Music/Party","120 EAST   10 STREET","EAST   10 STREET","(40.73034457895763, -73.98818349119608)",2024,"31 3 AVENUE",159.810398039164
61175089,"Noise - Residential","Loud Talking","110 EAST   11 STREET","EAST   11 STREET","(40.73184063035641, -73.98986102742231)",2024,"120 EAST 12 STREET",108.500829797071
61176312,"Noise - Residential","Banging/Pounding","201 EAST   12 STREET","EAST   12 STREET","(40.73193103390708, -73.98805331538149)",2024,"67 3 AVENUE",34.8507636228497
61176380,"Noise - Residential","Loud Talking","125 EAST   11 STREET","EAST   11 STREET","(40.73178846496097, -73.9896914512527)",2024,"120 EAST 12 STREET",73.484099206464
61176381,"Noise - Residential","Loud Talking","125 EAST   11 STREET","EAST   11 STREET","(40.73178846496097, -73.9896914512527)",2024,"120 EAST 12 STREET",73.484099206464
61176382,"Noise - Residential","Loud Talking","125 EAST   11 STREET","EAST   11 STREET","(40.73178846496097, -73.9896914512527)",2024,"120 EAST 12 STREET",73.484099206464
61177648,"Noise - Residential","Loud Talking","125 EAST   11 STREET","EAST   11 STREET","(40.73178846496097, -73.9896914512527)",2024,"120 EAST 12 STREET",73.484099206464
61177649,"Noise - Residential","Loud Talking","125 EAST   11 STREET","EAST   11 STREET","(40.73178846496097, -73.9896914512527)",2024,"120 EAST 12 STREET",73.484099206464
61178814,"Noise - Residential","Loud Talking","134 4 AVENUE","4 AVENUE","(40.73329261145003, -73.9899293633153)",2024,"106 EAST 14 STREET",124.606737936954
