ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2022,"2022",5216217,"Doctoral Universities","DOC","doctoral-universities",0.7742394704992301
2,"Part time",2022,"2022",1520997,"Doctoral Universities","DOC","doctoral-universities",0.2257605295007699
1,"Full time",2022,"2022",3088642,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8303731896828219
2,"Part time",2022,"2022",630941,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.16962681031717802
1,"Full time",2022,"2022",11475,"Tulane University of Louisiana","160755","tulane-university-of-louisiana",0.818065160048478
1,"Full time",2022,"2022",13437,"Boston College","164924","boston-college",0.8789821416890168
1,"Full time",2022,"2022",47345,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.9242557345046364
1,"Full time",2022,"2022",50670,"New York University","193900","new-york-university",0.8567225754091709
1,"Full time",2022,"2022",10180,"University of Rochester","195030","university-of-rochester",0.8346314667541198
1,"Full time",2022,"2022",23248,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.8913426884441377
2,"Part time",2022,"2022",2552,"Tulane University of Louisiana","160755","tulane-university-of-louisiana",0.18193483995152207
2,"Part time",2022,"2022",1850,"Boston College","164924","boston-college",0.12101785831098319
2,"Part time",2022,"2022",3880,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.07574426549536359
2,"Part time",2022,"2022",8474,"New York University","193900","new-york-university",0.14327742459082915
2,"Part time",2022,"2022",2017,"University of Rochester","195030","university-of-rochester",0.16536853324588013
2,"Part time",2022,"2022",2834,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.10865731155586228
1,"Full time",2021,"2021",5203861,"Doctoral Universities","DOC","doctoral-universities",0.7658047846123871
2,"Part time",2021,"2021",1591423,"Doctoral Universities","DOC","doctoral-universities",0.23419521538761293
1,"Full time",2021,"2021",3076992,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8228831096451137
2,"Part time",2021,"2021",662290,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1771168903548863
1,"Full time",2021,"2021",12342,"Tulane University of Louisiana","160755","tulane-university-of-louisiana",0.8786217697729053
1,"Full time",2021,"2021",13661,"Boston College","164924","boston-college",0.8769981382807986
1,"Full time",2021,"2021",46710,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.9290345678030152
1,"Full time",2021,"2021",49397,"New York University","193900","new-york-university",0.8483667090303301
1,"Full time",2021,"2021",10148,"University of Rochester","195030","university-of-rochester",0.842927153418058
1,"Full time",2021,"2021",23247,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.8939434724091521
2,"Part time",2021,"2021",1705,"Tulane University of Louisiana","160755","tulane-university-of-louisiana",0.12137823022709475
2,"Part time",2021,"2021",1916,"Boston College","164924","boston-college",0.12300186171920138
2,"Part time",2021,"2021",3568,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.07096543219698477
2,"Part time",2021,"2021",8829,"New York University","193900","new-york-university",0.1516332909696699
2,"Part time",2021,"2021",1891,"University of Rochester","195030","university-of-rochester",0.157072846581942
2,"Part time",2021,"2021",2758,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.10605652759084791
1,"Full time",2020,"2020",5146509,"Doctoral Universities","DOC","doctoral-universities",0.7649821184906401
2,"Part time",2020,"2020",1581111,"Doctoral Universities","DOC","doctoral-universities",0.23501788150935993
1,"Full time",2020,"2020",2981969,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.8189331513462967
2,"Part time",2020,"2020",659316,"Doctoral Universities: Highest Research Activity","15","doctoral-universities-highest-research-activity",0.1810668486537033
1,"Full time",2020,"2020",11147,"Tulane University of Louisiana","160755","tulane-university-of-louisiana",0.8003877360522725
1,"Full time",2020,"2020",13028,"Boston College","164924","boston-college",0.8723717691174501
1,"Full time",2020,"2020",44584,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.9306364414386207
1,"Full time",2020,"2020",44047,"New York University","193900","new-york-university",0.8346186641402179
1,"Full time",2020,"2020",9451,"University of Rochester","195030","university-of-rochester",0.804956988331488
1,"Full time",2020,"2020",22851,"University of Virginia-Main Campus","234076","university-of-virginia-main-campus",0.8916419541126892
2,"Part time",2020,"2020",2780,"Tulane University of Louisiana","160755","tulane-university-of-louisiana",0.19961226394772744
2,"Part time",2020,"2020",1906,"Boston College","164924","boston-college",0.12762823088254988
2,"Part time",2020,"2020",3323,"University of Michigan-Ann Arbor","170976","university-of-michigan-ann-arbor",0.06936355856137934
2,"Part time",2020,"2020",8728,"New York University","193900","new-york-university",0.1653813358597821
2,"Part time",2020,"2020",2290,"University of Rochester","195030","university-of-rochester",0.19504301166851204
